feed_id,agency,country,fail_reason
jbda-yanaizutown-yanaizutown-bus,柳津町,JP,insufficient fixed-route bus service
jbda-yanbaru-expressbus-yanbaru-express-bus,合同会社やんばる急行バス,JP,insufficient fixed-route bus service
jbda-yasucity-onoriyasu,野洲市,JP,insufficient fixed-route bus service
jbda-yasudatown-GTFS-Yasudatown_Bus,安田町,JP,insufficient fixed-route bus service
jbda-yokkaichicity-communitybus,四日市市,JP,insufficient fixed-route bus service
jbda-yokosukacity-hamachanbus,横須賀市,JP,insufficient fixed-route bus service
jbda-yomogitavillage-yomogita-communitybus,蓬田村,JP,insufficient fixed-route bus service
jbda-yoshinogawacity-yoshinogawacitybus,吉野川市,JP,insufficient fixed-route bus service
jbda-yotsukaidocity-yoppii,四街道市,JP,insufficient fixed-route bus service
jbda-yukicity-junkaibus,結城市,JP,insufficient fixed-route bus service
mdb-1,Casco Bay Lines,US,insufficient fixed-route bus service
mdb-100,Anaheim Resort Transportation (ART),US,no usable service date
mdb-1000,Komunikacja Miejska Przemyśl,PL,no usable service date
mdb-1002,Komunikacja Miejska - Krosno,PL,no usable service date
mdb-1003,TRAM Barcelona (Tranvía Metropolitano Barcelona),ES,insufficient fixed-route bus service
mdb-1004,TRAM Barcelona Besós (Tranvía Metropolitano Barcelona),ES,insufficient fixed-route bus service
mdb-1016,UABS-Banlieue Sahel,TN,insufficient fixed-route bus service
mdb-1017,Metro de Málaga,ES,insufficient fixed-route bus service
mdb-1028,Câmara Municipal de Águeda,PT,insufficient fixed-route bus service
mdb-1038,Transtejo,PT,insufficient fixed-route bus service
mdb-104,Corona Cruiser,US,insufficient fixed-route bus service
mdb-1047,Delcomar,IT,insufficient fixed-route bus service
mdb-105,Duarte Transit,US,insufficient fixed-route bus service
mdb-1057,"Municipality of Fukuoka, (福岡市営渡船)",JP,insufficient fixed-route bus service
mdb-1058,Ferrotramviaria,IT,insufficient fixed-route bus service
mdb-1068,Toremar Toscana Regionale Marittima,IT,insufficient fixed-route bus service
mdb-1087,Baca Area Transportation,US,insufficient fixed-route bus service
mdb-1089,Regional Rail Transport Germany,IT,insufficient fixed-route bus service
mdb-1102,"Porvoon Museorautatie, Pieksämäen Höyryveturiyhdistys ry",FI,insufficient fixed-route bus service
mdb-1105,"HM Transport Inc. and Robinsons Malls, Froehlich Tours,RRCG Transport, Lingkod Pinoy Bus Liner, Inc., MetroExpress, Tas Trans",PH,insufficient fixed-route bus service
